Periodo,Tipo de establecimiento,CCAA,DATA
2006M06,Turismo Rural,Espańa,25.0
2006M06,Apartamentos,La Rioja,2.0
2006M06,Apartamentos,Espańa,768.0
2006M07,Hoteles,La Rioja,181.0
2006M07,Hoteles,Espańa,377.0
2006M07,Camping,La Rioja,237.0
2006M07,Camping,Espańa,483.0
2006M07,Turismo Rural,La Rioja,296.0
2006M07,Turismo Rural,Espańa,367.0
2006M07,Apartamentos,La Rioja,285.0
2006M07,Apartamentos,Espańa,882.0
2006M08,Hoteles,La Rioja,196.0
2006M08,Hoteles,Espańa,387.0
2006M08,Camping,La Rioja,269.0
2006M08,Camping,Espańa,552.0
2006M08,Turismo Rural,La Rioja,434.0
2006M08,Turismo Rural,Espańa,494.0
2006M08,Apartamentos,La Rioja,489.0
2006M08,Apartamentos,Espańa,919.0
2006M09,Hoteles,La Rioja,176.0
2006M09,Hoteles,Espańa,355.0
2006M09,Camping,La Rioja,226.0
2006M09,Camping,Espańa,441.0
2006M09,Turismo Rural,La Rioja,2.0
2006M09,Turismo Rural,Espańa,29.0
2006M09,Apartamentos,La Rioja,222.0
2006M09,Apartamentos,Espańa,774.0
2006M10,Hoteles,La Rioja,174.0
2006M10,Hoteles,Espańa,318.0
2006M10,Camping,La Rioja,268.0
2006M10,Camping,Espańa,46.0
2006M10,Turismo Rural,La Rioja,285.0
2006M10,Turismo Rural,Espańa,269.0
2006M10,Apartamentos,La Rioja,222.0
2006M10,Apartamentos,Espańa,765.0
2006M11,Hoteles,La Rioja,177.0
2006M11,Hoteles,Espańa,279.0
2006M11,Camping,La Rioja,265.0
2006M11,Camping,Espańa,56.0
2006M11,Turismo Rural,La Rioja,228.0
2006M11,Turismo Rural,Espańa,228.0
2006M11,Apartamentos,La Rioja,21.0
2006M11,Apartamentos,Espańa,821.0
2006M12,Hoteles,La Rioja,186.0
2006M12,Hoteles,Espańa,281.0
2006M12,Camping,La Rioja,242.0
2006M12,Camping,Espańa,586.0
2006M12,Turismo Rural,La Rioja,228.0
2006M12,Turismo Rural,Espańa,279.0
2006M12,Apartamentos,La Rioja,271.0
